"CSquare","VME_index","Uncertainty_score","VME_Class","Uncertainty_Class","VME_Class_Name","Conf_Name"
"7405:247:225:4",5,1,3,"NULL","VME","VME"
"7405:247:227:3",5,1,3,"NULL","VME","VME"
"7405:247:227:4",5,1,3,"NULL","VME","VME"
"7405:247:228:1",5,1,3,"NULL","VME","VME"
"7405:247:228:3",5,1,3,"NULL","VME","VME"
"7405:247:228:4",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:247:229:3",5,1,3,"NULL","VME","VME"
"7405:247:235:1",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:247:235:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:235:3",2.48117618,0.534000234,0,"1","Low","Medium"
"7405:247:235:4",5,1,3,"NULL","VME","VME"
"7405:247:236:2",3.351230536,0.534000234,1,"1","Medium","Medium"
"7405:247:236:3",5,1,3,"NULL","VME","VME"
"7405:247:236:4",2.48117618,0.534000234,0,"1","Low","Medium"
